year,cdte_mw,csi_mw,total_mw,cdte_cumulative,csi_cumulative
2010,117.8,125.8,243.6,117.8,125.8
2011,83.0,670.1,764.2,200.8,795.9
2012,503.5,1082.3,1610.0,704.3,1878.2
2013,1180.8,1549.8,3550.7,1885.1,3428.0
2014,1351.0,2214.5,3815.6,3236.1,5642.5
2015,910.8,2481.3,3548.7,4146.9,8123.8
2016,1508.7,6558.9,8107.1,5655.6,14682.7
2017,823.1,4362.9,5244.2,6478.7,19045.6
2018,952.5,3722.0,4927.2,7431.2,22767.6
2019,1762.6,3935.0,5650.9,9193.8,26702.6
2020,2489.5,8220.6,10794.1,11683.3,34923.2
2021,3814.5,9646.6,13748.8,15497.8,44569.8
2022,3638.7,7405.3,11277.2,19136.5,51975.1
2023,4479.4,14385.3,19633.9,23615.9,66360.4
2024,6477.4,24778.5,31277.4,30093.3,91138.9
